company,title,url,application_url,apply_status,apply_error,apply_attempts,applied_at,last_attempted_at
RemoteHunter,Senior Data Scientist II - AI for Analytics,https://www.linkedin.com/jobs/view/4399121219,https://www.linkedin.com/jobs/view/4399121219/,failed,expired,99,,2026-04-17T12:48:32.280106+00:00
RemoteHunter,Senior Data Scientist II - AI for Analytics,https://www.linkedin.com/jobs/view/4398754559,https://www.linkedin.com/jobs/view/4398754559/,failed,expired,99,,2026-04-17T12:47:48.681035+00:00
RemoteHunter,Senior Data Scientist II - AI for Analytics,https://www.linkedin.com/jobs/view/4398106111,,failed,expired,99,,2026-04-17T12:47:13.947385+00:00
RemoteHunter,Senior Data Scientist II - AI for Analytics,https://www.linkedin.com/jobs/view/4397226942,,failed,expired,99,,2026-04-17T12:46:49.161942+00:00
OpenAI,"Data Scientist, Codex",https://www.linkedin.com/jobs/view/4313801548,https://jobs.ashbyhq.com/openai/994bf78e-55ec-4c02-9326-6f90c08bcebe/application,failed,application_limit_exceeded,3,,2026-04-17T12:46:41.625479+00:00
Stripe,Staff Data Scientist,https://www.linkedin.com/jobs/view/4372939691,,failed,expired,99,,2026-04-17T12:46:20.683216+00:00
Moloco,Product Analytics & Data Science Leader (Senior Manager),https://us.jobrapido.com/jobpreview/434812737323794432,https://job-boards.greenhouse.io/moloco/jobs/7550622003**,applied,,1,2026-04-17T12:46:17.306556+00:00,2026-04-17T12:27:44.122063+00:00
Netflix,Machine Learning Scientist (L4) - Content & Conversation Modeling,https://explore.jobs.netflix.net/careers/job/790313081060,https://explore.jobs.netflix.net/careers?pid=790302428788&domain=netflix.com&sort_by=relevance**,applied,,0,2026-04-17T12:35:01.345470+00:00,2026-04-17T12:27:28.659704+00:00
The Home Depot,Data Science Senior Manager - Generative BI,https://careers.homedepot.com/job/23237949/data-science-senior-manager-generative-bi-onsite,https://homedepot.wd5.myworkdayjobs.com/en-US/CareerDepot/userHome**,applied,,0,2026-04-17T12:27:25.302220+00:00,2026-04-17T12:26:18.022946+00:00
ACLU,"Data Scientist II, Natural Language Processing (NLP) Specialist",https://www.linkedin.com/jobs/view/4399764828,https://job-boards.greenhouse.io/aclu/jobs/8501473002/confirmation**,applied,,0,2026-04-17T12:15:07.629673+00:00,2026-04-17T12:11:01.810110+00:00
Haystack,Data Scientist,https://www.linkedin.com/jobs/view/4394413312,https://www.linkedin.com/jobs/view/4394413312/,failed,expired,99,,2026-04-17T12:10:33.661338+00:00
Intuit,Machine Learning Engineer II Recommendation Systems- Credit Karma,https://www.linkedin.com/jobs/view/4399869910,https://intuit.avature.net/en_US/externalCareers/ProfileJobApplications**,applied,,0,2026-04-17T12:10:29.809185+00:00,2026-04-17T12:05:18.292124+00:00
Snowflake,"Director, Data Science – GTM (Data, Analytics & AI)",https://www.linkedin.com/jobs/view/4402095558,https://jobs.ashbyhq.com/snowflake/ff7fbdd3-98a7-4552-959f-bb4812b2dc8d/application,applied,,0,2026-04-17T12:06:17.448982+00:00,2026-04-17T12:03:08.972372+00:00
SentiLink,Senior Applied ML Scientist,https://www.linkedin.com/jobs/view/4385316108,https://jobs.ashbyhq.com/sentilink/15353e34-d132-49d7-a8c9-c5e8adb783f4/application?utm_source=LinkedIn,applied,,0,2026-04-17T12:03:05.452109+00:00,2026-04-17T11:59:27.473308+00:00
PayPal,Staff Data Scientist,https://www.linkedin.com/jobs/view/4401767812,https://paypal.eightfold.ai/careers/apply?pid=274918723766&hl=en-US&domain=paypal.com&Codes=W-LINKEDIN,failed,form_validation_errors,3,,2026-04-17T11:28:26.594365+00:00
SentiLink,Senior Applied ML Scientist,https://www.linkedin.com/jobs/view/4385307390,https://jobs.ashbyhq.com/sentilink/15353e34-d132-49d7-a8c9-c5e8adb783f4/application**,applied,,0,2026-04-17T11:29:41.642298+00:00,2026-04-17T11:21:13.026501+00:00
Reflow,Data Scientist,https://www.linkedin.com/jobs/view/4402206183,,failed,expired,99,,2026-04-17T11:20:14.062832+00:00
Birlasoft,Data Scientist,https://www.linkedin.com/jobs/view/4392869211,,failed,expired,99,,2026-04-17T11:19:47.700529+00:00
Citadel Securities,Data Scientist,https://www.linkedin.com/jobs/view/4264412194,https://www.citadelsecurities.com/thank-you/**,applied,,0,2026-04-17T11:21:09.914681+00:00,2026-04-17T11:18:50.858425+00:00
,Credit Strategy - Senior Data Scientist,https://sofi.com/careers/job/7655871003?gh_jid=7655871003,https://www.sofi.com/careers/job/?gh_jid=7655871003,applied,,0,2026-04-17T11:19:41.732309+00:00,2026-04-17T11:12:25.939146+00:00
Flex,Sr. Staff Data Scientist,https://www.linkedin.com/jobs/view/4393253142,https://job-boards.greenhouse.io/flex/jobs/4679382005/confirmation?gh_src=Nfeutp**,applied,,0,2026-04-17T11:18:47.282087+00:00,2026-04-17T11:06:25.415086+00:00
T. Rowe Price,Senior Data Scientist,https://ars2.equest.com/?response_id=5647a24aab1be241ca1d9d93af5108ef,https://troweprice.wd5.myworkdayjobs.com/en-US/TRowePrice/job/New-York%2C-NY/Senior-Data-Scientist_78980/apply/autofillWithResume?source=LinkedIn_Slots,applied,,0,2026-04-17T11:06:22.263213+00:00,2026-04-17T11:04:49.029268+00:00
JPMorganChase,Machine Learning Scientist - Natural Language Processing (NLP) - Vice President - Machine Learning Center of Excellence,https://www.linkedin.com/jobs/view/4334297117,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210681337/apply/section/1**,applied,,0,2026-04-17T10:57:07.538838+00:00,2026-04-17T10:55:17.320081+00:00
PNC Bank NA,Data Scientist - Corporate & Institutional Banking,https://pnc.wd5.myworkdayjobs.com/en-US/External/job/PA---Pittsburgh-15222/Data-Scientist---Corporate---Institutional-Banking_R216795-1,https://pnc.wd5.myworkdayjobs.com/en-US/External/jobTasks/completed/application -- submitted successfully**,applied,,0,2026-04-17T10:55:14.029511+00:00,2026-04-17T10:45:04.956790+00:00
Blue Cross Blue Shield of Massachusetts,Data Scientist,https://www.linkedin.com/jobs/view/4398080790,https://careers.bluecrossma.org/us/en/job/BCBSUSR08455EXTERNALENUS/Data-Scientist,failed,expired,99,,2026-04-17T10:44:33.684656+00:00
"Samyang America, Inc.","Sr. Manager, Data Science and Advanced Analytic Solutions",https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=723571cd-4aa4-4769-a3e2-42f97e7e1047&ccId=19000101_000001&type=JS&lang=en_US&selectedMenuKey=CareerCenter&jobId=947431&source=LI,https://workforcenow.adp.com/mascsr/applicant/mdf/recruitment/postLogin.html?cid=723571cd-4aa4-4769-a3e2-42f97e7e1047&ccId=19000101_000001&type=JS&lang=en_US&selectedMenuKey=CareerCenter&jobId=947431&source=LI&jobId=947431&requisitionId=9205554974753_1&params=jobId&OTP_login=true**,applied,,0,2026-04-17T10:44:30.316338+00:00,2026-04-17T10:38:23.728205+00:00
Lyft,"Senior Machine Learning Engineer, Recommendations",https://www.linkedin.com/jobs/view/4376106619,https://www.linkedin.com/jobs/view/4376106619/,failed,form_validation_blocker,3,,2026-04-17T10:38:18.421803+00:00
Quest Diagnostics,Data Scientist Manager - Eso,https://www.linkedin.com/jobs/view/4399550909,https://hdox.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/my-profile**,applied,,0,2026-04-17T10:38:20.584567+00:00,2026-04-17T10:21:57.469925+00:00
31 MSI - (Marvell Semiconductor Inc.) US,"Senior Staff Software Engineer - Data Science & ML, Agentic Automation for Business Tools",https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Boise-ID/Senior-Staff-Software-Engineer---Data-Science---ML--Agentic-Automation-for-Business-Tools_2601041,https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/jobTasks/completed/application**,applied,,0,2026-04-17T10:21:54.290222+00:00,2026-04-17T10:15:38.887056+00:00
Publicis Groupe Holdings B.V,"Associate Director, Data Science (Audience Solutions Group)",https://www.linkedin.com/jobs/view/4387731828,https://careers.publicisgroupe.com/jobs/142978?lang=en-us&iis=Job+Board&iisn=LinkedIn+Apply,failed,expired,99,,2026-04-17T10:15:14.201575+00:00
Spotify,"Senior Machine Learning Engineer, Personalization",https://www.linkedin.com/jobs/view/4400644592,https://jobs.lever.co/spotify/b2123f20-234d-439d-8048-0fac5afa4564/thanks,applied,,0,2026-04-17T10:11:28.808143+00:00,2026-04-17T10:08:52.523076+00:00
Alvarez & Marsal,Senior Data Scientist — Generative & Agentic AI,https://www.whatjobs.com/jobs/senior-data-scientist-generative/houston-texas,https://www.whatjobs.com/jobseeker/job/applications,applied,,0,2026-04-17T10:08:49.217385+00:00,2026-04-17T09:57:18.588271+00:00
PayPal,Sr Data Scientist,https://paypal.eightfold.ai/careers?domain=paypal.com&sort_by=relevance&query=R0132010&Codes=W-LINKEDIN,https://careers.pypl.com/home/default.aspx**,applied,,0,2026-04-17T10:15:10.844453+00:00,2026-04-17T09:50:01.340438+00:00
PayPal,Sr Data Scientist,https://www.linkedin.com/jobs/view/4396755688,https://www.linkedin.com/jobs/view/4396755688,failed,expired,99,,2026-04-17T09:49:31.522070+00:00
Sprinklr,Senior Data Scientist,https://www.linkedin.com/jobs/view/4401572907,https://sprinklr.wd1.myworkdayjobs.com/en-US/careers/job/United-States---North-Carolina---Remote/Senior-Data-Scientist_112866-JOB/apply/autofillWithResume?source=LinkedIn,failed,login_issue,99,,2026-04-17T09:47:44.347043+00:00
CarGurus,"Manager, Data Science",https://www.linkedin.com/jobs/view/4398605823,https://careers.cargurus.com/us/en/applythankyou?status=success&jobId=7740086&jobTitle=Manager%2C%20Data%20Science&jobSeqNo=CABCARUS7740086EXTERNALENUS**,applied,,0,2026-04-17T09:49:28.351445+00:00,2026-04-17T09:45:21.917192+00:00
KPIT,"Senior Data Scientist - ML, Forecasting & Dashboards",https://www.whatjobs.com/jobs/senior-data-scientist-ml/columbus-indiana,https://www.whatjobs.com/jobseeker/job/applications**,applied,,0,2026-04-17T09:45:18.609012+00:00,2026-04-17T09:35:17.524515+00:00
Reflow,Data Scientist,https://www.linkedin.com/jobs/view/4402209137,https://www.linkedin.com/jobs/view/4402209137/,failed,expired,99,,2026-04-17T09:34:54.602649+00:00
Reflow,Data Scientist,https://www.linkedin.com/jobs/view/4402207145,,failed,expired,99,,2026-04-17T09:34:10.853412+00:00
SentiLink,Staff Applied ML Scientist,https://www.linkedin.com/jobs/view/4385315200,https://jobs.ashbyhq.com/sentilink/9b4ac2f2-7b03-4fc9-bea3-7d6933deb6e0/application?utm_source=LinkedIn,applied,,0,2026-04-17T09:34:07.702057+00:00,2026-04-17T09:25:58.366656+00:00
SentiLink,Staff Applied ML Scientist,https://www.linkedin.com/jobs/view/4385198997,https://jobs.ashbyhq.com/sentilink/9b4ac2f2-7b03-4fc9-bea3-7d6933deb6e0/application?utm_source=LinkedIn**,applied,,0,2026-04-17T09:31:13.360102+00:00,2026-04-17T09:24:34.088640+00:00
PayPal,Staff Data Scientist,https://www.linkedin.com/jobs/view/4401776451,https://paypal.eightfold.ai/careers/apply?pid=274918723765&hl=en-US&domain=paypal.com&Codes=W-LINKEDIN**,applied,,0,2026-04-17T09:25:55.102960+00:00,2026-04-17T09:16:03.886287+00:00
PayPal,Sr Data Scientist,https://www.linkedin.com/jobs/view/4401772662,https://paypal.eightfold.ai/careers/apply?pid=274918027110&hl=en-US&domain=paypal.com&Codes=W-LINKEDIN,applied,,1,2026-04-17T09:24:31.037547+00:00,2026-04-17T09:06:41.958057+00:00
Snowflake,Senior Data Scientist - Product,https://careers.snowflake.com/us/en/job/SNCOUS6E1D8BD82A6D438F8F5BB6AF7250D446EXTERNALENUSB9B85C1D07604E289DFE41724C8335A1/Senior-Data-Scientist-Product,https://jobs.ashbyhq.com/snowflake/b9b85c1d-0760-4e28-9dfe-41724c8335a1/application,applied,,0,2026-04-17T07:45:20.294200+00:00,2026-04-17T07:42:10.107363+00:00
UnitedHealth Group,Sr. Data Scientist - People Analytics - Remote,https://careers.unitedhealthgroup.com/job/eden-prairie/sr-data-scientist-people-analytics-remote/34088/93760954288,https://uhg.taleo.net/careersection/careersection/candidateacquisition/flow.jsf**,applied,,0,2026-04-17T07:42:06.852427+00:00,2026-04-17T07:38:12.000877+00:00
Chewy,Data Scientist III,https://www.linkedin.com/jobs/view/4392052276,https://careers.chewy.com/us/en/applythankyou?status=success&jobSeqNo=CHINUSR29093EXTERNALENUS&jobTitle=Data%20Scientist%20III&jobId=R29093&email=deepanvishal%40gmail.com&candidateHomeUrl=https://wd5.myworkdaysite.com/recruiting/chewy/External/login?Job_Application_ID=19097aee918b9001dba6723f16e30001&jobApplicationId=19097aee918b9001dba6723f16e30001&candidateId=C-00131581**,applied,,0,2026-04-17T07:45:11.666626+00:00,2026-04-17T07:37:13.924117+00:00
,Data Scientist,https://jobs.ashbyhq.com/tandem/1ae72b76-5611-4423-a2ea-e11933cea33f,https://jobs.ashbyhq.com/tandem/1ae72b76-5611-4423-a2ea-e11933cea33f/application**,applied,,0,2026-04-17T07:38:20.705804+00:00,2026-04-17T07:36:12.573837+00:00
Federal Express Corporation,Sr. Data Scientist - Data Scientist Advisor,https://www.linkedin.com/jobs/view/4381677570,https://www.linkedin.com/jobs/view/4381677570/,failed,expired,99,,2026-04-17T07:34:55.138482+00:00
,"Senior Manager, Data Science - Financial Services",https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Plano-TX/Senior-Manager--Data-Science---Financial-Services_R239860-1,https://capitalone.wd12.myworkdayjobs.com/Capital_One/job/Plano-TX/Senior-Manager--Data-Science---Financial-Services_R239860-1**,applied,,0,2026-04-17T07:36:09.421584+00:00,2026-04-17T07:34:24.612897+00:00
,Senior Data Science Manager-Unsecured Lending Underwriting ,https://sofi.com/careers/job/7679142003?gh_jid=7679142003,https://www.sofi.com/careers/job/?gh_jid=7679142003,applied,,0,2026-04-17T07:34:51.935379+00:00,2026-04-17T07:25:09.104612+00:00
Empower,"Senior Data Scientist, Responsible AI",https://www.linkedin.com/jobs/view/4393787942,https://www.linkedin.com/jobs/view/4393787942/,failed,expired,99,,2026-04-17T07:20:05.804133+00:00
Remitly,Senior Data Scientist,https://www.linkedin.com/jobs/view/4381418137,,failed,expired,99,,2026-04-17T07:19:33.304312+00:00
OpenAI,"Data Scientist, Product",https://www.linkedin.com/jobs/view/4313399643,https://jobs.ashbyhq.com/openai/579e2994-ec43-4869-8ad1-8cda8088f74b/application,applied,,2,2026-04-17T07:19:30.212290+00:00,2026-04-17T07:16:08.008817+00:00
PayPal,Sr Data Scientist,https://www.linkedin.com/jobs/view/4372631495,,failed,expired,99,,2026-04-17T07:07:59.266762+00:00
Humana,Lead Data Scientist - Safety Alignment,https://humana.dejobs.org/hartford-ct/lead-data-scientist-safety-alignment/863723D2446C4753A685C9014367B092/job,https://careers.humana.com/us/en/applythankyou?status=alreadyApplied&jobSeqNo=HUMHUMUSR407235EXTERNALENUS&jobTitle=Lead%20Data%20Scientist%20-%20Safety%20Alignment&jobId=R-407235&candidateHomeUrl=https://humana.wd5.myworkdayjobs.com/Humana_External_Career_Site/login?Job_Application_ID=undefined&jobApplicationId=undefined&candidateId=CAND-497454**,applied,,0,2026-04-17T07:14:22.162169+00:00,2026-04-17T07:05:45.791219+00:00
Otsuka Pharmaceutical Companies (U.S.),"Associate Director, Medical Omnichannel Data Scientist",https://jobgether.com/offer/69c6dae200fd4c48a199ac74-associate-director-medical-omnichannel-data-scientist,https://vhr-otsuka.wd1.myworkdayjobs.com/en-US/External/job/Associate-Director--Omnichannel-Data-Scientist_R9293**,applied,,0,2026-04-17T07:06:30.189194+00:00,2026-04-17T07:04:42.433775+00:00
Healthcare.com,Sr Data Scientist,https://www.linkedin.com/jobs/view/4394706362,https://jobs.lever.co/healthcare/bfb08955-275b-4485-82ee-a0a8455be44f/thanks,applied,,0,2026-04-17T07:04:39.375194+00:00,2026-04-17T07:01:24.693341+00:00
Tatari,Data Science Manager,https://grnh.se/v2hgj9d32us,https://job-boards.greenhouse.io/tatari/jobs/8196929002/confirmation?gh_src=v2hgj9d32us**,applied,,0,2026-04-17T07:05:42.840015+00:00,2026-04-17T07:01:20.619029+00:00
Tatari,Data Science Manager,https://www.linkedin.com/jobs/view/4380029167,https://job-boards.greenhouse.io/tatari/jobs/8196928002/confirmation?gh_src=nq8ylnx42us**,applied,,0,2026-04-17T07:07:56.274274+00:00,2026-04-17T06:58:50.056546+00:00
Integrity,Senior Data Scientist,https://www.linkedin.com/jobs/view/4400346087,https://integritymarketing.wd1.myworkdayjobs.com/Integrity/job/Dallas-TX/Sr-Data-Scientist_JR3858?source=LinkedIn,failed,login_issue,99,,2026-04-17T06:56:27.253841+00:00
Proven Recruiting,Data Scientist,https://www.linkedin.com/jobs/view/4401779326,https://www.linkedin.com/jobs/view/4401779326/**,applied,,0,2026-04-17T07:01:17.488441+00:00,2026-04-17T06:53:27.330414+00:00
Tiger Analytics Inc.,Lead Data Scientist - GenAI,https://www.tealhq.com/job/lead-data-scientist-genai_7ea1adc6caa4782a4c7c388e8f2d9b46c8c80,https://jobs.workable.com/view/hvm6ugFkBFZB4SVxmxUWpb/remote-lead-data-scientist---genai-in-texas-at-tiger-analytics-inc.**,applied,,0,2026-04-17T06:53:24.178982+00:00,2026-04-17T06:48:11.900486+00:00
Roblox,Senior Data Scientist - Ecosystem and Learning Platform,https://careers.roblox.com/jobs/7435395?gh_jid=7435395&gh_src=da92d0c91,https://careers.roblox.com/jobs/7435395?gh_jid=7435395&gh_src=da92d0c91,applied,,0,2026-04-17T06:58:46.969301+00:00,2026-04-17T06:46:54.873877+00:00
Xometry,Director of Data Science & Machine Learning - Pricing,https://bebee.com/us/jobs/director-of-data-science-machine-learning-pricing-xometry-north-bethesda--indeed-e4d8453c21d3bf1a,https://bebee.com/us/jobs/director-of-data-science-machine-learning-pricing-xometry-north-bethesda--indeed-e4d8453c21d3bf1a,failed,expired,99,,2026-04-17T06:44:40.151092+00:00
Unique,"Data Scientist, Client Facing (FSI Enterprise Solutions), 80-100%",https://www.linkedin.com/jobs/view/4400217097,https://unique.careers.hibob.com/jobs/f02a24c7-ab47-48e8-bd21-447891e49019/apply?utm_medium=f02a24c7-ab47-48e8-bd21-447891e49019&vq_campaign=33454cbe-8d22-5b14-8638-37465d55394d&vq_source=e6e2d09c-553d-4e7b-82a7-10afe54bf6ad&igbTracker=901804592&utm_source=linkedin,applied,,0,2026-04-17T06:48:08.850866+00:00,2026-04-17T06:40:21.371161+00:00
Intuit,Staff Data Scientist- Forecasting,https://www.linkedin.com/jobs/view/4401732246,https://jobs.intuit.com/job/-/-/27595/92435672416?cid=pjob_li_click_us_datasci-fy26_cn_text_job_int-tm&p_sid=uh9wmNb&p_uid=nRl9pY7dsX&ss=paid&utm_campaign=&utm_content=pj_board&utm_medium=jobad&utm_source=linkedin+slots+(intuit),failed,blocked_domain,99,,2026-04-17T06:40:21.203178+00:00
Peapod Digital Labs,"Manager, Data Science",https://www.whatjobs.com/jobs/manager-data-science/quincy-kentucky,https://www.whatjobs.com/jobseeker/dashboard?ni=fzygv7e**,applied,,0,2026-04-17T06:44:37.245565+00:00,2026-04-17T06:33:21.442006+00:00
Genentech,Senior Machine Learning Scientist - AI - Lab Automation Software,https://careers.gene.com/us/en/job/GENEUS202601101203EXTERNALENUS/Senior-Machine-Learning-Scientist-AI-Lab-Automation-Software,,failed,expired,99,,2026-04-17T06:32:37.147926+00:00
"BioCryst Pharmaceuticals, Inc.","Assoc. Director, Global Data Science Operations",https://www.linkedin.com/jobs/view/4377994270,https://biocryst.wd501.myworkdayjobs.com/en-US/External/jobTasks/completed/application**,applied,,0,2026-04-17T06:56:24.094321+00:00,2026-04-17T06:32:08.098643+00:00
Achieve,Sr. Data Scientist (Credit Risk),https://www.linkedin.com/jobs/view/4381774358,,failed,expired,99,,2026-04-17T06:31:38.207472+00:00
Upstart,"Senior Software Engineer, Personalization & ML",https://app.greenhouse.io/embed/job_app?token=7664789&gh_src=8c01b2f01&source=LinkedIn,https://job-boards.greenhouse.io/embed/job_app/confirmation?for=upstart&token=7664789&gh_src=8c01b2f01,applied,,0,2026-04-17T06:33:18.605605+00:00,2026-04-17T06:29:25.322175+00:00
ICE,Data Scientist,https://www.linkedin.com/jobs/view/4386965471,https://careers.ice.com/jobs/12532?lang=en-us&iis=LinkedIn&iisn=Linkedin&mode=apply,failed,captcha,99,,2026-04-17T06:28:54.835011+00:00
Fidelity Investments,"Director, Data Science",https://www.linkedin.com/jobs/view/4305415380,https://wd1.myworkdaysite.com/en-US/recruiting/fmr/FidelityCareers/jobTasks/completed/application,applied,,0,2026-04-17T06:29:22.061307+00:00,2026-04-17T06:22:17.364965+00:00
UC San Diego Health,Sr. Applied AI Data Scientist  - JCHI  - 138985,https://www.linkedin.com/jobs/view/4399688621,https://jobs.ucsd.edu/apply/AfterApply.aspx?conf=13379909,applied,,1,2026-04-17T06:22:13.920569+00:00,2026-04-17T06:18:23.942980+00:00
Remitly,Senior Data Scientist,https://www.linkedin.com/jobs/view/4387495052,https://Remitly.contacthr.com/151500608?source=LinkedIn,failed,expired,99,,2026-04-17T06:16:37.903269+00:00
UnitedHealth Group,Sr. Data Scientist - People Analytics - Remote,https://www.tealhq.com/job/sr-data-scientist-people-analytics_7ea1ae5bb81ebc636b4afc7c21d3c5ea2d326,https://www.tealhq.com/job/sr-data-scientist-people-analytics_7ea1ae5bb81ebc636b4afc7c21d3c5ea2d326,failed,login_issue,99,,2026-04-17T06:14:30.086572+00:00
ALO,Senior Data Scientist,https://www.linkedin.com/jobs/view/4353132784,https://www.linkedin.com/jobs/view/4353132784/,failed,expired,99,,2026-04-17T06:03:04.108504+00:00
The Walt Disney Company,"Lead Data Scientist, Ad Research",https://www.disneycareers.com/job/-/-/391/91944638432?source=LINKEDIN_JOB_SLOTS,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Seattle-WA-USA/Lead-Data-Scientist--Ad-Research_10142041/apply,applied,,0,2026-04-17T06:14:27.189426+00:00,2026-04-17T06:01:43.737937+00:00
CFS,Data Scientist,https://www.linkedin.com/jobs/view/4399549418,https://pcrecruiter.cfstaffing.com/pcrbin/jobboard.aspx**,applied,,0,2026-04-17T06:03:01.184984+00:00,2026-04-17T06:01:15.131432+00:00
Pfizer,"Medical Analytics, Care Gaps & Customer Segmentation Team, Senior Data Scientist",https://www.linkedin.com/jobs/view/4390396229,,failed,expired,99,,2026-04-17T06:00:15.291027+00:00
Pfizer,"Medical Analytics, Care Gaps & Customer Segmentation Team, Senior Data Scientist",https://www.linkedin.com/jobs/view/4390398153,,failed,expired,99,,2026-04-17T05:59:44.067161+00:00
Disney Entertainment and ESPN Product & Technology,"Lead Data Scientist, Ad Research",https://jobs.womenforhire.com/job/usa/tujunga-ca/lead-data-scientist-ad-research-235026,https://jobs.womenforhire.com/job/usa/tujunga-ca/lead-data-scientist-ad-research-235026,failed,expired,99,,2026-04-17T05:59:20.511148+00:00
PayPal,Sr Data Scientist,https://www.linkedin.com/jobs/view/4401771619,https://paypal.eightfold.ai/careers/job/274916456734?hl=en-US&domain=paypal.com&Codes=W-LINKEDIN,failed,form_validation_issue,3,,2026-04-17T05:55:12.851047+00:00
Zillow,Data Scientist II,https://www.linkedin.com/jobs/view/4393206014,https://zillow.wd5.myworkdayjobs.com/en-US/Zillow_Group_External/userHome,applied,,0,2026-04-17T05:59:17.422746+00:00,2026-04-17T05:53:32.111881+00:00
Nexxen,Data Scientist Manager,https://us.jobrapido.com/jobpreview/8942529904247832576,https://www.jobleads.com/job/e71b5b3a6497189c719d29e6fd9bbcd10,applied,,0,2026-04-17T06:01:40.648230+00:00,2026-04-17T05:45:38.860845+00:00
Pearl,Senior Data Scientist,https://www.linkedin.com/jobs/view/4398067483,https://jobs.ashbyhq.com/pearl/2324b347-c700-49c6-9b63-d6747ef27d0c/application?utm_source=XdB6PZReBG,applied,,0,2026-04-17T05:45:35.844311+00:00,2026-04-17T05:40:03.856711+00:00
Kforce Inc,"Senior Data Scientist — ML, Insights & Impact",https://www.learn4good.com/jobs/salt-lake-city/utah/info_technology/5006766529/e,https://www.learn4good.com/jobs/salt-lake-city/utah/info_technology/5006766529/e/,failed,paywall_required,3,,2026-04-17T05:38:16.648930+00:00
Luminate,"Senior Data Scientist, Generative AI",https://www.linkedin.com/jobs/view/4387291684,https://job-boards.greenhouse.io/embed/job_app/confirmation?for=luminate&token=4658446005&gh_src=8bca72ba5us,applied,,0,2026-04-17T05:53:29.028814+00:00,2026-04-17T05:36:51.967621+00:00
